PersonID,Name,ElectedDate,ResignedDate,FirstDirector
435838d4-ba83-4478-8ba9-19dd0a3d3e4f,Allegra Clinch,,,
f18fdd1e-b012-4dff-84ad-52643064c102,Sharlene Lillford,2022-08-11,,Yes
19d6d308-598e-433b-84e1-e487a7047831,Allan Favelle,2020-12-04,2021-03-20,Yes
edfb8363-3744-43bb-8e4d-ad24869626b3,Nell Di Ruggiero,2020-10-14,,
d8ba0acc-698a-4ef5-8447-3ea6a982fd78,Jaquelin Peele,,,
05683baa-0573-4ce3-827c-15be5d56234f,Constanta Jorioz,2021-10-24,2021-04-07,
2572b6fe-e9b4-4c7b-b801-7f88f7445cba,Sammy Willes,2022-06-04,,Yes
976e9594-243b-4a6b-a1b6-606222dfce64,Gail Cholomin,2022-06-28,2020-11-17,Yes
47e546b0-a22e-40cd-830b-e1535b99e56a,Samuel Duxbury,2020-05-14,,
99aee08c-f56e-4aae-b078-d8eb884b661b,Seline Glazier,2021-05-26,2022-02-22,Yes
9c9ec631-7922-4517-a2db-13bbf7dac732,Leslie Simonian,2020-09-28,2020-10-31,
9356f4d8-b3bb-439d-b400-83140680b422,Milt Keay,2021-05-05,,Yes
6bc1a6aa-a16f-478e-a849-d200ba64f219,Frasier Salvage,,,
46d3ae74-1b64-40e4-88ef-431bdd9c8bb3,Nilson Limbrick,2022-05-25,,
0eb0f956-c750-41c9-9aa3-53b78c392144,Caro Petche,2020-03-22,,
c91a3bd9-2e34-4b69-8a0f-5be31cba8e26,Inger Streatley,2022-08-11,,
fb875374-6c03-450c-9741-2eb9f24c6db0,Sheela Leimster,,,
6aeb35da-60a9-412b-b4b2-d2f49beaf40a,Gelya Lamb,2021-09-02,2022-02-16,
799e1521-7082-49e6-83fe-d78de831c115,Shirl Vickress,2022-10-16,,
cb01bf2a-be99-4ae3-8d1a-d34700122925,Alix Hansley,2022-06-18,,Yes
d8813b91-1e62-4c39-9a07-017f7b0ab6b0,Lorette Hannibal,2022-08-08,2020-06-30,
4e1cefc1-2df1-4629-8761-a1fe1071b121,Aristotle Rainger,2021-09-08,,
eb0cb77a-1e8f-4e9d-8d28-a8f9be27f728,Jozef Fardoe,2020-04-08,2022-07-25,
7cfab6e0-849f-403d-99d2-9e6ae01f13ed,Roma Birkhead,2020-07-08,,
cd6ffc02-ac98-4da5-8fca-0ff784e6d850,Odo Ashenhurst,2020-07-12,,
b368ac5a-807f-4067-9cb7-df11b822aa61,Danell Libreros,2021-08-05,,
67d22a3a-1982-4ae6-be76-e81a3185660c,Alexandrina Danielsohn,2022-01-29,,Yes
4bc966db-8a02-4fff-86f0-3e0d522f1733,Philippine Von Salzberg,2021-11-23,,
dd8329b0-f4df-4cec-a29f-8144cfdc802a,Hali Swallow,2021-01-08,2020-12-19,
